2026-06-29 22:20:52 | n4_b1p75 | samples= 14,714,112 | speed= 3,191 sps | loss=0.073879 | val=0.070805 | lr=6.66e-05 | D=-- | D'=--
2026-06-29 22:21:21 | n4_b1p75 | samples= 14,814,208 | speed= 3,552 sps | loss=0.073821 | val=0.070849 | lr=1.14e-04 | D=-- | D'=--
2026-06-29 22:21:49 | n4_b1p75 | samples= 14,914,304 | speed= 3,542 sps | loss=0.073806 | val=0.070873 | lr=1.64e-04 | D=-- | D'=--
2026-06-29 22:22:21 | n4_b1p75 | samples= 15,014,400 | speed= 3,151 sps | loss=0.073768 | val=0.070736 | lr=1.35e-04 | D=-- | D'=--
2026-06-29 22:22:52 | n4_b1p75 | samples= 15,114,496 | speed= 3,161 sps | loss=0.073505 | val=0.070484 | lr=8.45e-05 | D=-- | D'=--
2026-06-29 22:23:24 | n4_b1p75 | samples= 15,214,592 | speed= 3,161 sps | loss=0.073433 | val=0.070333 | lr=5.68e-05 | D=-- | D'=--
2026-06-29 22:23:55 | n4_b1p75 | samples= 15,314,688 | speed= 3,201 sps | loss=0.073407 | val=0.070305 | lr=9.98e-05 | D=-- | D'=--
2026-06-29 22:24:27 | n4_b1p75 | samples= 15,414,784 | speed= 3,198 sps | loss=0.073279 | val=0.070165 | lr=6.48e-05 | D=-- | D'=--
2026-06-29 22:24:55 | n4_b1p75 | samples= 15,514,880 | speed= 3,547 sps | loss=0.073282 | val=0.070220 | lr=1.15e-04 | D=-- | D'=--
2026-06-29 22:25:23 | n4_b1p75 | samples= 15,614,976 | speed= 3,540 sps | loss=0.073208 | val=0.070297 | lr=1.53e-04 | D=-- | D'=--
2026-06-29 22:25:55 | n4_b1p75 | samples= 15,715,072 | speed= 3,149 sps | loss=0.073180 | val=0.070031 | lr=9.98e-05 | D=-- | D'=--
2026-06-29 22:26:27 | n4_b1p75 | samples= 15,815,168 | speed= 3,153 sps | loss=0.072950 | val=0.069843 | lr=6.56e-05 | D=-- | D'=--
2026-06-29 22:26:58 | n4_b1p75 | samples= 15,915,264 | speed= 3,152 sps | loss=0.072901 | val=0.069769 | lr=6.19e-05 | D=-- | D'=--
2026-06-29 22:27:30 | n4_b1p75 | samples= 16,015,360 | speed= 3,188 sps | loss=0.072793 | val=0.069667 | lr=6.21e-05 | D=-- | D'=--
2026-06-29 22:27:58 | n4_b1p75 | samples= 16,115,456 | speed= 3,550 sps | loss=0.072791 | val=0.069759 | lr=1.12e-04 | D=-- | D'=--
2026-06-29 22:28:26 | n4_b1p75 | samples= 16,215,552 | speed= 3,544 sps | loss=0.072846 | val=0.070041 | lr=2.06e-04 | D=-- | D'=--
